ID_cliente,Fecha_contacto,Vendedor,Tipo_cliente,Segmento,Canal_principal,Cantidad_ovas_compradas,Monto_total_gastado,Frecuencia_compras,Ultima_compra,Dias_ultimo_contacto,Llamadas_recibidas,WhatsApp_recibidos,Emails_enviados,Reuniones_agendadas,Tiempo_respuesta_horas,Tasa_respuesta,Contactos_efectivos,Interes_compra,Satisfaccion,Probabilidad_retencion,Recomendaria,Cliente_interesado,Cliente_retenible
C000001,2024-01-01,VEND_004,Restaurante Gourmet,Mediano,Teléfono,3798,455.76,3,2024-01-29,510,1,0,0,0,5.7,0.84,1,4,4,0.57,10,1,0
C000002,2024-05-25,VEND_011,Criadero,Mediano,Teléfono,4042,485.04,8,2024-07-03,365,1,2,0,0,8.4,0.37,1,3,4,0.63,6,0,1
C000003,2024-05-08,VEND_028,Restaurante Gourmet,Pequeño,Teléfono,0,0.0,0,,382,3,1,1,0,6.7,0.29,1,1,3,0.34,5,0,0
C000004,2024-07-07,VEND_016,Restaurante Gourmet,Grande,Teléfono,7341,880.92,8,2025-04-28,322,5,0,0,0,3.3,0.72,4,5,4,0.72,10,1,1
C000005,2025-02-16,VEND_022,Criadero,Mediano,Visita,0,0.0,0,,98,1,1,2,4,2.3,0.56,5,1,1,0.14,0,0,0
C000006,2025-05-08,VEND_027,Criadero,Mediano,WhatsApp,4488,538.56,4,2025-05-24,17,2,5,1,0,3.3,0.28,2,4,5,0.7,8,1,1
C000007,2023-10-08,VEND_023,Distribuidor,Mediano,WhatsApp,0,0.0,0,,595,1,5,1,0,2.9,0.66,5,2,1,0.07,6,0,0
C000008,2025-02-08,VEND_013,Distribuidor,Mediano,Email,3456,414.72,7,2025-05-15,106,0,0,4,1,9.1,0.94,5,5,5,0.82,10,1,1
C000009,2025-01-22,VEND_001,Criadero,Pequeño,WhatsApp,1832,219.84,3,2025-02-09,123,4,4,0,1,3.8,0.3,3,5,5,0.66,8,1,1
C000010,2023-11-03,VEND_030,Restaurante Gourmet,Pequeño,Teléfono,1629,195.48,1,2024-05-05,569,2,1,2,0,6.1,0.46,2,4,5,0.68,10,1,1
C000011,2024-10-23,VEND_004,Criadero,Pequeño,WhatsApp,1210,145.2,6,2025-04-13,214,1,3,0,0,5.5,0.85,3,4,3,0.49,7,1,0
C000012,2025-02-18,VEND_030,Distribuidor,Pequeño,Teléfono,0,0.0,0,,96,3,2,0,1,6.4,0.31,2,1,1,0.05,3,0,0
C000013,2025-02-01,VEND_028,Distribuidor,Pequeño,WhatsApp,1468,176.16,1,2025-02-08,113,2,4,0,0,2.0,0.94,6,4,5,0.55,10,1,0
C000014,2023-08-26,VEND_012,Criadero,Grande,Teléfono,9027,1083.24,4,2025-01-25,638,5,2,0,0,9.2,0.82,6,4,3,0.43,7,1,0
C000015,2025-04-08,VEND_009,Criadero,Mediano,Email,3492,419.04,2,2025-04-16,47,0,1,4,0,14.0,0.33,2,4,5,0.65,10,1,1
C000016,2025-03-13,VEND_020,Criadero,Pequeño,WhatsApp,0,0.0,0,,73,0,4,1,1,7.3,0.19,1,3,1,0.04,3,0,0
C000017,2023-11-28,VEND_013,Distribuidor,Pequeño,Email,1041,124.92,2,2024-07-20,544,2,0,5,0,13.6,0.27,2,5,5,0.71,8,1,1
C000018,2024-10-13,VEND_025,Distribuidor,Pequeño,WhatsApp,0,0.0,0,,224,1,1,0,0,3.7,0.75,1,1,1,0.17,1,0,0
C000019,2025-02-03,VEND_005,Distribuidor,Grande,WhatsApp,0,0.0,0,,111,0,6,0,0,6.7,0.71,4,1,3,0.42,6,0,0
C000020,2024-04-11,VEND_014,Criadero,Pequeño,Visita,0,0.0,0,,409,0,1,2,2,3.2,0.5,3,3,1,0.07,2,0,0
C000021,2024-06-20,VEND_007,Distribuidor,Pequeño,Teléfono,0,0.0,0,,339,5,1,1,0,7.9,0.37,3,2,3,0.37,8,0,0
C000022,2024-09-14,VEND_011,Exportador,Grande,Email,0,0.0,0,,253,2,0,5,0,8.3,0.44,3,3,1,0.11,2,0,0
C000023,2024-03-31,VEND_018,Distribuidor,Mediano,Visita,0,0.0,0,,420,1,0,3,2,5.8,0.15,1,1,1,0.1,2,0,0
C000024,2023-09-25,VEND_023,Criadero,Grande,Teléfono,8621,1034.52,6,2024-09-20,608,3,2,0,0,4.3,0.51,3,5,5,0.8,9,1,1
C000025,2024-10-29,VEND_018,Exportador,Pequeño,WhatsApp,0,0.0,0,,208,0,4,0,0,1.6,0.37,1,1,3,0.41,6,0,0
C000026,2025-03-18,VEND_030,Restaurante Gourmet,Pequeño,Teléfono,0,0.0,0,,68,3,1,3,0,3.6,0.4,3,2,1,0.11,3,0,0
C000027,2024-02-29,VEND_012,Criadero,Mediano,WhatsApp,0,0.0,0,,451,1,7,0,0,0.5,0.18,1,2,2,0.26,2,0,0
C000028,2025-05-23,VEND_024,Criadero,Pequeño,Email,0,0.0,0,,2,0,0,6,1,10.9,0.79,6,3,3,0.37,6,0,0
C000029,2024-06-19,VEND_007,Restaurante Gourmet,Mediano,Teléfono,3712,445.44,2,2025-03-13,340,3,1,1,0,7.3,0.63,3,4,3,0.36,5,1,0
C000030,2025-04-16,VEND_025,Criadero,Grande,Teléfono,9902,1188.24,4,2025-05-03,39,3,1,0,1,9.0,0.57,3,5,3,0.53,6,1,0
C000031,2024-07-07,VEND_030,Criadero,Mediano,Email,0,0.0,0,,322,1,1,4,0,13.1,0.7,4,3,2,0.33,4,0,0
C000032,2023-10-07,VEND_020,Criadero,Pequeño,Teléfono,1705,204.6,1,2024-11-26,596,2,2,1,0,7.4,0.56,3,5,3,0.38,6,1,0
C000033,2023-11-13,VEND_028,Criadero,Pequeño,Teléfono,1272,152.64,0,2025-05-20,559,3,0,0,0,5.0,0.35,1,3,5,0.64,9,0,1
C000034,2024-01-07,VEND_029,Criadero,Mediano,Teléfono,4395,527.4,3,2024-06-20,504,4,1,1,0,6.0,0.31,2,4,4,0.62,6,1,1
C000035,2024-11-30,VEND_009,Criadero,Grande,WhatsApp,0,0.0,0,,176,0,4,3,0,2.0,0.55,4,2,3,0.4,6,0,0
C000036,2025-01-10,VEND_001,Restaurante Gourmet,Pequeño,Teléfono,1891,226.92,0,2025-03-17,135,1,0,0,1,5.1,0.4,1,3,4,0.46,9,0,0
C000037,2025-02-15,VEND_017,Criadero,Pequeño,Email,0,0.0,0,,99,2,0,5,1,11.5,0.25,2,1,3,0.38,5,0,0
C000038,2024-05-10,VEND_026,Criadero,Mediano,WhatsApp,3941,472.92,6,2025-03-07,380,0,4,1,1,5.1,0.35,2,4,5,0.73,10,1,1
C000039,2024-11-26,VEND_001,Restaurante Gourmet,Grande,Teléfono,0,0.0,0,,180,2,1,2,0,2.9,0.5,3,1,3,0.35,7,0,0
C000040,2024-06-01,VEND_029,Distribuidor,Grande,WhatsApp,0,0.0,0,,358,3,5,2,0,6.4,0.54,5,1,3,0.35,6,0,0
C000041,2024-10-24,VEND_012,Distribuidor,Mediano,Teléfono,0,0.0,0,,213,4,0,1,0,6.5,0.5,3,1,1,0.11,2,0,0
C000042,2023-09-03,VEND_017,Criadero,Pequeño,WhatsApp,1852,222.24,3,2025-03-26,630,0,7,3,0,1.9,0.09,1,4,3,0.47,6,1,0
C000043,2024-04-09,VEND_029,Criadero,Mediano,WhatsApp,0,0.0,0,,411,0,1,1,0,1.7,0.07,0,2,2,0.23,4,0,0
C000044,2024-08-08,VEND_020,Restaurante Gourmet,Pequeño,WhatsApp,1341,160.92,2,2024-10-17,290,1,5,1,0,0.5,0.3,2,3,5,0.58,9,1,0
C000045,2023-10-15,VEND_025,Restaurante Gourmet,Mediano,Teléfono,0,0.0,0,,588,6,0,0,0,5.5,0.31,2,1,3,0.43,5,0,0
C000046,2023-07-15,VEND_027,Distribuidor,Pequeño,WhatsApp,0,0.0,0,,680,2,7,1,0,7.5,0.28,3,3,3,0.37,6,0,0
C000047,2025-02-08,VEND_027,Criadero,Grande,WhatsApp,0,0.0,0,,106,1,5,2,0,1.7,0.8,6,3,1,0.17,0,0,0
C000048,2023-10-27,VEND_003,Exportador,Pequeño,Email,0,0.0,0,,576,3,1,1,0,11.0,0.12,1,1,2,0.3,5,0,0
C000049,2024-04-02,VEND_006,Criadero,Pequeño,WhatsApp,1063,127.56,1,2025-03-12,418,1,4,0,0,1.9,0.52,3,3,5,0.63,10,1,1
C000050,2024-04-26,VEND_005,Criadero,Pequeño,Teléfono,1647,197.64,2,2024-10-21,394,2,0,1,0,8.0,0.66,2,4,5,0.7,10,1,1
C000051,2023-06-08,VEND_010,Restaurante Gourmet,Mediano,Visita,0,0.0,0,,717,0,0,0,3,8.0,0.2,1,1,3,0.4,5,0,0
C000052,2024-12-30,VEND_002,Criadero,Pequeño,Email,1520,182.4,1,2025-05-08,146,1,2,4,0,14.3,0.68,5,4,5,0.58,10,1,0
C000053,2024-01-27,VEND_006,Criadero,Pequeño,Email,1263,151.56,3,2024-11-25,484,1,0,3,0,12.6,0.62,2,5,5,0.7,10,1,1
C000054,2024-08-27,VEND_006,Distribuidor,Mediano,WhatsApp,4354,522.48,10,2025-04-24,271,0,3,0,2,0.5,0.3,2,3,5,0.85,10,1,1
C000055,2024-04-09,VEND_015,Distribuidor,Grande,WhatsApp,8904,1068.48,4,2024-08-24,411,2,6,0,0,0.5,0.58,5,3,5,0.75,10,1,1
C000056,2024-12-18,VEND_016,Distribuidor,Mediano,WhatsApp,3101,372.12,2,2025-02-18,158,2,4,0,0,1.1,0.55,3,5,4,0.54,10,1,0
C000057,2024-11-26,VEND_019,Criadero,Pequeño,Teléfono,0,0.0,0,,180,4,1,1,0,8.1,0.76,5,1,1,0.13,3,0,0
C000058,2023-10-21,VEND_004,Criadero,Pequeño,WhatsApp,0,0.0,0,,582,0,8,3,0,2.1,0.57,6,3,1,0.12,2,0,0
C000059,2024-05-25,VEND_026,Criadero,Pequeño,Email,0,0.0,0,,365,0,0,9,0,15.0,0.65,6,1,1,0.1,1,0,0
C000060,2024-05-19,VEND_019,Criadero,Pequeño,WhatsApp,1917,230.04,0,2024-10-31,371,3,3,1,0,1.3,0.77,5,5,4,0.55,10,1,0
C000061,2024-12-22,VEND_015,Criadero,Pequeño,WhatsApp,1145,137.4,0,2025-04-26,154,3,1,1,1,4.5,0.3,2,5,5,0.57,8,1,0
C000062,2023-06-05,VEND_011,Distribuidor,Mediano,Email,0,0.0,0,,720,0,1,3,0,14.7,0.37,1,2,2,0.2,1,0,0
C000063,2024-04-30,VEND_012,Criadero,Mediano,Teléfono,0,0.0,0,,390,8,0,1,0,6.7,0.16,1,3,3,0.42,6,0,0
C000064,2024-09-12,VEND_003,Criadero,Pequeño,WhatsApp,1045,125.4,2,2025-01-02,255,1,12,0,0,2.5,0.21,3,3,5,0.71,9,1,1
C000065,2024-09-23,VEND_027,Criadero,Mediano,WhatsApp,0,0.0,0,,244,1,5,1,0,3.6,0.77,5,2,3,0.32,3,0,0
C000066,2024-05-31,VEND_014,Criadero,Mediano,Teléfono,0,0.0,0,,359,4,0,1,0,6.0,0.67,3,3,1,0.11,0,0,0
C000067,2025-01-16,VEND_024,Restaurante Gourmet,Mediano,WhatsApp,4473,536.76,5,2025-04-24,129,0,6,1,1,1.5,0.48,4,4,4,0.63,10,1,1
C000068,2023-11-17,VEND_020,Restaurante Gourmet,Grande,Teléfono,0,0.0,0,,555,2,0,2,0,7.7,0.13,1,3,1,0.2,4,0,0
